t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.281000,5.492481e-04,4.807633e-05,0.000000e+00,2.022036e-03,5.036163e-03
0.282000,3.071408e-04,5.232566e-05,0.000000e+00,1.407671e-03,4.386733e-03
0.283000,8.997152e-04,6.706908e-05,0.000000e+00,2.372810e-03,3.637427e-03
0.284000,4.312494e-03,1.247014e-04,0.000000e+00,6.840085e-03,2.634642e-03
0.285000,3.164728e-03,1.371845e-04,0.000000e+00,1.774035e-03,3.355216e-03
0.286000,2.098125e-03,1.098945e-04,0.000000e+00,9.078531e-04,3.708184e-03
0.287000,9.026834e-04,1.193363e-04,0.000000e+00,2.193583e-03,2.969790e-03
0.288000,1.597781e-04,1.448001e-04,0.000000e+00,7.735297e-04,2.698373e-03
0.289000,2.434496e-04,1.929396e-04,0.000000e+00,8.896473e-04,2.448962e-03
0.290000,2.303627e-03,1.837371e-04,0.000000e+00,3.745106e-03,1.655802e-03
0.291000,3.480366e-03,1.584888e-04,0.000000e+00,4.907663e-03,9.000823e-04
0.292000,7.558184e-04,1.808524e-04,0.000000e+00,3.570196e-04,1.121463e-03
0.293000,2.211134e-04,1.702193e-04,0.000000e+00,5.833649e-04,8.844461e-04
0.294000,4.156937e-04,1.538715e-04,0.000000e+00,1.426713e-04,9.420255e-04
0.295000,2.656112e-03,1.053402e-04,0.000000e+00,3.650527e-03,4.278274e-04
0.296000,3.570409e-03,1.222173e-04,0.000000e+00,2.808561e-03,7.685229e-04
0.297000,1.559809e-03,1.249335e-04,0.000000e+00,2.317139e-03,4.945994e-04
0.298000,1.964527e-03,1.409790e-04,0.000000e+00,1.396506e-03,7.701440e-04
0.299000,3.982869e-06,1.410855e-04,0.000000e+00,1.056773e-04,7.025887e-04
0.300000,1.554748e-03,6.777660e-05,0.000000e+00,2.243405e-03,2.871038e-04
0.301000,1.325206e-03,4.989763e-05,0.000000e+00,1.821200e-03,1.364460e-04
0.302000,2.875862e-03,5.250111e-05,0.000000e+00,3.410243e-03,9.652012e-05
0.303000,1.551864e-03,4.808337e-05,0.000000e+00,1.772564e-03,1.070459e-04
0.304000,1.548138e-03,9.253329e-05,0.000000e+00,1.645196e-03,1.548186e-04
0.305000,2.483697e-03,1.308960e-04,0.000000e+00,2.506605e-03,5.198267e-05
0.306000,1.093856e-07,9.521373e-05,0.000000e+00,1.410899e-06,4.938547e-05
