t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.181000,9.779182e-05,9.427656e-04,0.000000e+00,1.259065e-04,7.374366e-04
0.182000,2.168810e-05,8.744522e-04,0.000000e+00,3.082951e-05,7.530048e-04
0.183000,1.314104e-04,8.956225e-04,0.000000e+00,1.163036e-04,6.384321e-04
0.184000,2.918552e-04,1.042329e-03,0.000000e+00,2.554436e-04,5.717737e-04
0.185000,5.546994e-05,1.053299e-03,0.000000e+00,3.270977e-05,5.153551e-04
0.186000,2.442577e-04,1.119624e-03,0.000000e+00,1.868775e-04,4.383910e-04
0.187000,3.221785e-04,1.155110e-03,0.000000e+00,4.181441e-04,6.717174e-04
0.188000,4.269279e-04,1.165084e-03,1.562500e+01,5.007378e-04,9.288596e-04
0.189000,2.534536e-04,1.089217e-03,0.000000e+00,3.042495e-04,1.102706e-03
0.190000,2.980107e-03,1.093270e-03,0.000000e+00,2.888448e-03,4.712069e-04
0.191000,8.543596e-04,1.277949e-03,0.000000e+00,6.919471e-04,3.444874e-04
0.192000,2.136683e-03,1.364957e-03,0.000000e+00,2.517583e-03,9.238310e-04
0.193000,5.435121e-03,1.445812e-03,0.000000e+00,5.738234e-03,2.325946e-03
0.194000,3.572019e-03,1.610644e-03,1.562500e+01,3.466255e-03,4.152238e-03
0.195000,1.490164e-03,1.611669e-03,0.000000e+00,1.309857e-03,5.314466e-03
0.196000,1.827578e-03,1.468666e-03,0.000000e+00,1.514624e-03,6.402073e-03
0.197000,2.644957e-04,1.508499e-03,0.000000e+00,1.187827e-04,6.940400e-03
0.198000,1.697842e-03,1.531708e-03,0.000000e+00,1.251471e-03,8.415694e-03
0.199000,1.084022e-04,1.648809e-03,0.000000e+00,1.010361e-05,8.813760e-03
0.200000,3.116565e-03,1.805771e-03,0.000000e+00,3.998950e-03,6.673831e-03
0.201000,1.858645e-06,1.810023e-03,0.000000e+00,1.359549e-05,6.544725e-03
0.202000,2.768610e-03,1.833962e-03,0.000000e+00,3.314343e-03,4.701965e-03
0.203000,5.102586e-03,1.860665e-03,0.000000e+00,5.510371e-03,2.769528e-03
0.204000,4.707742e-04,1.533555e-03,0.000000e+00,4.707017e-04,2.849249e-03
0.205000,6.512481e-03,1.574085e-03,0.000000e+00,6.648833e-03,1.314452e-03
0.206000,6.712484e-04,1.515119e-03,0.000000e+00,7.923226e-04,1.724130e-03
0.207000,2.766069e-03,1.493080e-03,0.000000e+00,2.890603e-03,2.780713e-03
0.208000,2.088154e-03,1.557776e-03,0.000000e+00,2.168775e-03,1.910433e-03
0.209000,8.402744e-04,1.943424e-03,0.000000e+00,7.905049e-04,1.800112e-03
0.210000,6.740087e-03,2.010117e-03,0.000000e+00,6.427432e-03,7.053864e-04
0.211000,1.193058e-03,2.123896e-03,0.000000e+00,1.559767e-03,1.286560e-03
0.212000,2.714324e-04,2.177045e-03,0.000000e+00,1.689469e-04,1.132834e-03
0.213000,4.411757e-04,2.559047e-03,0.000000e+00,2.900468e-04,1.169902e-03
0.214000,6.267143e-03,2.608906e-03,0.000000e+00,5.556467e-03,4.075998e-04
0.215000,2.519728e-04,2.552159e-03,0.000000e+00,7.113197e-05,3.329640e-04
